Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,salary,company_text,job_state,age
DATA SCIENTIST,"$110,383 /yr (est.)",3.2,"Durham County
3.2","Durham, NC",51 to 200 Employees,-1,Government,Municipal Agencies,Government & Public Administration,Government & Public Administration,110383.0,Durham Count, NC,-1
Biological Data Scientist,"$103,335 /yr (est.)",4.0,"University of California San Francisco
4.0","San Francisco, CA",10000+ Employees,1864,College / University,Colleges & Universities,Education,Education,103335.0,University of California San Francisc, CA,159
Data Scientist/Data Analyst,"$80,000 /yr (est.)",3.6,"Holman
3.6","Mount Laurel, NJ",5001 to 10000 Employees,1924,Company - Private,Vehicle Dealers,Retail & Wholesale,Retail & Wholesale,80000.0,Holma, NJ,99
USARPAC Data Scientist (Data Scientist 1)- 15568,"$95,507 /yr (est.)",3.6,"HII
3.6","Fort Shafter, HI",10000+ Employees,2011,Company - Public,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,95507.0,HI, HI,12
Data Scientist,"$107,815 /yr (est.)",3.2,"Transportation Impact
3.2","Emerald Isle, NC",51 to 200 Employees,2008,Company - Private,Shipping & Trucking,Transportation & Logistics,Transportation & Logistics,107815.0,Transportation Impac, NC,15
Data Science Analyst,"$90,000 /yr (est.)",3.1,"CVS Health
3.1",Texas,10000+ Employees,1963,Company - Public,Health Care Services & Hospitals,Healthcare,Healthcare,90000.0,CVS Healt,Texas,60
Product Data Scientist,"$124,350 /yr (est.)",3.6,"PayPal
3.6","New York, NY",501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Information Technology,124350.0,PayPa, NY,7
Data Scientist,$45.00 /hr (est.),5.0,"Aurora Technical Systems, LLC",Remote,1 to 50 Employees,-1,Company - Private,-1,-1,-1,45.0,Aurora Technical Systems,Remote,-1
Junior Data Scientist,"$57,500 /yr (est.)",3.9,"Augray
3.9","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Information Technology,57500.0,Augra, WI,9
Data Scientist,"$91,500 /yr (est.)",4.3,"The Rector & Visitors of the University of Virginia
4.3","Charlottesville, VA",10000+ Employees,1819,College / University,Colleges & Universities,Education,Education,91500.0,The Rector & Visitors of the University of Virgini, VA,204
